"T" "S" "Y"
"1" 28 36.8
"1" 54 55.2
"1" 31 59.9
"1" 63 75.5
"1" 75 91.3
"1" 58 56.7
"1" 79 98.1
"1" 31 57.7
"1" 25 31.8
"1" 18 23.2
"1" 70 79.6
"1" 38 32.5
"1" 36 44.6
"1" 38 27.5
"1" 47 61.2
"1" 54 68.8
"1" 59 40.5
"1" 45 67
"1" 41 53.5
"1" 10 26.9
"1" 26 45.4
"1" 11 31.3
"1" 79 95.5
"1" 50 59.6
"1" 52 71.1
"1" 42 55.3
"1" 65 66.7
"1" 36 66.8
"1" 43 48.2
"1" 13 22.6
"2" 35 80.8
"2" 27 64.5
"2" 43 82.8
"2" 71 121.2
"2" 25 60.3
"2" 24 50.2
"2" 36 80
"2" 68 104.1
"2" 16 60.6
"2" 35 84.8
"2" 12 45.9
"2" 22 74.5
"2" 51 85.6
"2" 71 115.7
"2" 24 61.6
"2" 64 89.7
"2" 17 53.2
"2" 70 113.9
"2" 32 58
"2" 52 89.3
"2" 41 102.2
"2" 22 41.5
"2" 31 62.7
"2" 66 101.5
"2" 60 100.3
"2" 25 44.8
"2" 13 55
"2" 69 115.4
"2" 76 118.4
"2" 12 25.2
"3" 33 79.6
"3" 12 37
"3" 26 57.6
"3" 43 98.3
"3" 34 76.7
"3" 78 148.8
"3" 71 122.8
"3" 71 126.9
"3" 60 107.9
"3" 24 65.9
"3" 54 121.5
"3" 47 104.4
"3" 14 53.8
"3" 21 64.6
"3" 36 90.6
"3" 68 133.1
"3" 66 115.5
"3" 16 38.1
"3" 58 126.2
"3" 15 42.9
"3" 67 116.1
"3" 39 62.9
"3" 79 142.9
"3" 15 83.8
"3" 42 92.9
"3" 52 115.8
"3" 61 135.2
"3" 44 99.8
"3" 17 68.8
"3" 56 117.1
