"education" "south" "female" "workexp" "unionmember" "wages" "age" "ethnicity" "occupation" "sector" "married"
"1" 8 0 1 21 0 5.09999990463257 35 "Hispanic" "Other" "Manufacturing" 1
"2" 9 0 1 42 0 4.94999980926514 57 "White" "Other" "Manufacturing" 1
"3" 12 0 0 1 0 6.67000007629395 19 "White" "Other" "Manufacturing" 0
"4" 12 0 0 4 0 4 22 "White" "Other" "Other" 0
"5" 12 0 0 17 0 7.5 35 "White" "Other" "Other" 1
"6" 13 0 0 9 1 13.0699996948242 28 "White" "Other" "Other" 0
"7" 10 1 0 27 0 4.44999980926514 43 "White" "Other" "Other" 0
"8" 12 0 0 9 0 19.4699993133545 27 "White" "Other" "Other" 0
"9" 16 0 0 11 0 13.2799997329712 33 "White" "Other" "Manufacturing" 1
"10" 12 0 0 9 0 8.75 27 "White" "Other" "Other" 0
"11" 12 0 0 17 1 11.3500003814697 35 "White" "Other" "Other" 1
"12" 12 0 0 19 1 11.5 37 "White" "Other" "Manufacturing" 0
"13" 8 1 0 27 0 6.5 41 "White" "Other" "Other" 1
"14" 9 1 0 30 1 6.25 45 "White" "Other" "Other" 0
"15" 9 1 0 29 0 19.9799995422363 44 "White" "Other" "Other" 1
"16" 12 0 0 37 0 7.30000019073486 55 "White" "Other" "Construction" 1
"17" 7 1 0 44 0 8 57 "White" "Other" "Other" 1
"18" 12 0 0 26 1 22.2000007629395 44 "White" "Other" "Manufacturing" 1
"19" 11 0 0 16 0 3.65000009536743 33 "White" "Other" "Other" 0
"20" 12 0 0 33 0 20.5499992370605 51 "White" "Other" "Other" 1
"21" 12 0 1 16 1 5.71000003814697 34 "White" "Other" "Manufacturing" 1
"22" 7 0 0 42 1 7 55 "Other" "Other" "Manufacturing" 1
"23" 12 0 0 9 0 3.75 27 "White" "Other" "Other" 0
"24" 11 1 0 14 0 4.5 31 "Other" "Other" "Other" 1
"25" 12 0 0 23 0 9.5600004196167 41 "White" "Other" "Other" 1
"26" 6 1 0 45 0 5.75 57 "White" "Other" "Manufacturing" 1
"27" 12 0 0 8 0 9.35999965667725 26 "White" "Other" "Manufacturing" 1
"28" 10 0 0 30 0 6.5 46 "White" "Other" "Other" 1
"29" 12 0 1 8 0 3.34999990463257 26 "White" "Other" "Manufacturing" 1
"30" 12 0 0 8 0 4.75 26 "White" "Other" "Other" 1
"31" 14 0 0 13 0 8.89999961853027 33 "White" "Other" "Other" 0
"32" 12 1 1 46 0 4 64 "White" "Other" "Other" 0
"33" 8 0 0 19 0 4.69999980926514 33 "White" "Other" "Other" 1
